id,schema,name,species,breed,gender,birth_date,weight,color,photo_url,status,is_nfc_synced,known_allergies,default_vet,default_clinic,owners
69b88bc286fe595486389f81,1,Buddy,dog,Labrador,male,2022-05-10,25.5,golden,https://example.com/buddy.jpg,healthy,False,chicken,Dr. Smith,Happy Paws,[]
69b89452e67f7e097caf7854,1,Max,dog,Golden Retriever,male,2021-06-15,32.5,golden,https://images.unsplash.com/photo-1633722715463-d30628cqe450?w=400,healthy,False,chicken,Dr. María García,Clínica Veterinaria PetCare,[]
69b89495e67f7e097caf7855,1,Luna edited,cat,Siamese,female,2022-11-20,4.2,cream and blue,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69b89495e67f7e097caf7855%2Fphoto%2Fpet_1773844698448.jpg?alt=media&token=c532cb11-4328-46bb-be7e-38b71fefe1ad,lost,False,fish,Dr. Carlos López,Happy Paws Clinic,"[ObjectId('69b5b6d4be7e7d222e4eae0b'), ObjectId('69b89347569f6993f6916dce')]"
69b8953fe67f7e097caf7856,1,Max,dog,Golden Retriever,male,2021-06-15,32.5,golden,https://images.unsplash.com/photo-1633722715463-d30628cqe450?w=400,healthy,False,chicken,Dr. María García,Clínica Veterinaria PetCare,[]
69b8989ca1f9a7cb659d9fab,1,Max,dog,Golden Retriever,male,2021-06-15,32.5,golden,https://images.unsplash.com/photo-1633722715463-d30628cqe450?w=400,healthy,False,chicken,Dr. María García,Clínica Veterinaria PetCare,[ObjectId('69b89392e67f7e097caf7853')]
69b970b38dd17e197fe2d8a3,1,Puskas,dog,Australian Shepherd,male,2023-07-08,22.5,"white, black and brown","https://eu-central-1.graphassets.com/AnwjgMYRvQfWK3bRPjoq3z/resize=height:608,width:1080/output=format:webp/yb6NOAlCSlSl9xFJFf7b",healthy,True,,,,[ObjectId('69b89347569f6993f6916dce')]
69b9a2bad175af1f9b214e53,1,Rocco,dog,French Bulldog,male,,12.0,Grey with white,,healthy,False,None,Dr. Manuela,Animal Vet,[ObjectId('69b9a275d175af1f9b214e52')]
69b9b0a8eda7eb27a771928e,1,maxine,dog,beagle,male,2018-03-15,6.0,Brown,,lost,True,Milk,Dr Patrick,New Vet,[ObjectId('69b89347569f6993f6916dce')]
69b9d10d7f33e7fd442d742b,1,Elliot,dog,Yorkie,male,2015-05-02,4.0,Grey,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69b9d10d7f33e7fd442d742b%2Fphoto%2Fpet_1773937671763.jpg?alt=media&token=5e889a69-769c-4c1e-bd3a-7beed5a79247,healthy,True,Banano,,Colmillos,[ObjectId('69b994252ee87d7a734c9a67')]
69b9dd4ebc51107301f29ca6,1,piru,cat,persa,female,2014-03-17,1.5,gray,,healthy,False,None,Unknown,Unknown,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9dd5abc51107301f29ca7,1,piru,cat,persa,female,2014-03-17,1.5,gray,,healthy,False,No,Unknown,Unknown,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9dd66bc51107301f29ca8,1,piru,cat,persa,female,2014-03-17,1.5,gray,,healthy,False,No,Unknown,Unknown,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9dd6dbc51107301f29ca9,1,piru,cat,persa,female,2014-03-17,1.5,gray,,healthy,False,No,Unknown,Unknown,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9dd6ebc51107301f29caa,1,piru,cat,persa,female,2014-03-17,1.5,gray,,healthy,False,No,Unknown,Unknown,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9de19bc51107301f29cab,1,fsdfsd,dog,fdsfdsfsdfsd,male,2026-03-02,12.0,fffff,,healthy,False,,dadada,dadada,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9de1bbc51107301f29cac,1,fsdfsd,dog,fdsfdsfsdfsd,male,2026-03-02,12.0,fffff,,healthy,False,dadada,dadada,dadada,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9de24bc51107301f29cad,1,fsdfsd,dog,fdsfdsfsdfsd,male,2026-03-02,12.0,fffff,,healthy,False,dadada,dadada,dadada,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9de2dbc51107301f29cae,1,fsdfsd,dog,fdsfdsfsdfsd,male,2026-03-02,12.0,fffff,,healthy,False,dadada,dadada,dadada,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9e14c20fcd47e7800de38,1,test,dog,test,female,2026-03-09,12.0,baba,,healthy,False,test,test,test,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69b9eaa4af35f48330aeba4c,1,testtt,cat,cat,female,2000-03-17,1.0,cat,,healthy,False,cat,cat,cat,[ObjectId('69b5ff5eff980d0b51d8ae52')]
69bac061f53e6b4836187cdc,1,e,dog,e,female,,11.0,brown,file:///data/user/0/com.example.petcare/files/pets/pet_1773846594524.jpg,healthy,False,,,,[ObjectId('69b8d8bda94011000b69d944')]
69bad3caf53e6b4836187cde,1,d,dog,d,male,,22.0,b,file:///data/user/0/com.example.petcare/files/pets/pet_1773851494768.jpg,healthy,False,,,,[ObjectId('69b8d8bda94011000b69d944')]
69bae6d7f1161fd793537d62,1,Pablo Tobon,dog,perro pinguino,male,2002-03-19,5.0,black and white,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F520f69f6-ec3e-49ec-8afd-ce6fd068273e.jpg?alt=media,healthy,True,gluten,,,[ObjectId('69bad2c678e8686ceac1f93d')]
69bafccf8760b6d07ccefd1c,1,Buddy,cat,Golden,female,,5.0,Cute Cat,,healthy,True,,Dr. Vet,clinic,[ObjectId('69b9e0da4ef470521b8998b7')]
69bb10eca47e2f3631d80603,1,Elliot,dog,Yorkie,male,2015-05-02,4.0,Gris,,healthy,False,None,Dr. Maf,Colmillos,[ObjectId('69b9f9f0af35f48330aeba4d')]
69bb2d6833fa31b3d710cc5e,1,Be,dog,dd,male,,,d,file:///data/user/0/com.example.petcare/files/pets/pet_1773874515227.jpg,healthy,False,,,,[ObjectId('69b8d8bda94011000b69d944')]
69bb61316211d7595a73f68b,1,Buddy,dog,Galgo,male,,15.0,Brown,file:///data/user/0/com.example.petcare/files/pets/pet_1773887693573.jpg,healthy,False,,,,[ObjectId('69ba1b0d9fb75d164189e837')]
69bb6f626b701b33a5a74573,1,Persin,cat,Callejero,female,2012-03-03,1.2,Brown white strips,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69bb6f626b701b33a5a74573%2Fphoto%2Fpet_1773891424011.jpg?alt=media&token=aad35e0a-54ca-49d7-a61d-afe87c17bd2b,healthy,True,None,Doctor Smith,Baby paws,[ObjectId('69baa19cade87d8f92c07011')]
69bb7829fa66d55e23b5135a,1,Max,dog,Golden,male,,15.0,Brown,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F7126e300-bf22-40c2-ae06-ffc353b2b5d3.jpg?alt=media&token=ad68979c-beb7-434a-a661-e8900fde1cd5,healthy,False,,,,[ObjectId('69ba1b0d9fb75d164189e837')]
69bb7b1f5b22f09d59bfd933,1,BudBud,dog,B,male,,10.0,,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fe7b98ebd-dd98-49c6-8309-8595f8d19b96.jpg?alt=media,healthy,False,,,,[ObjectId('69ba1b0d9fb75d164189e837')]
69bb8954c7f9d54cc661ba94,1,A,cat,A,female,,4.0,verde,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F425cdeda-c3fe-459e-acb9-f0eddf82cc45.jpg?alt=media,healthy,False,,,,[ObjectId('69ba1b0d9fb75d164189e837')]
